CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt ,Thématique/Environnement - Identité/Projet de vie
Travailler à mon compte,-8.75,-3.75,7.5,2.25,nan,nan,3
Travailler seul,nan,nan,10,nan,nan,nan,-1
"Piloter les coûts, la rentabilité",-10,7.75,5.25,7.75,-8.25,-1.25,-2.5
Piloter un budget,-7.25,7,6,7.75,-8.25,7.5,-2.5
Gérer un service de grande entreprise,-9.5,7.5,-1.25,6.5,-5.5,3.5,1.5
Gérer une salle de sport,-7,5.75,-2.75,2,4.25,7.5,2.5
Gérer un hôtel,-8.25,5,-3.25,6.5,3,7.75,0.5
Gérer un salon de coiffure,-5.5,3,-0.75,3.5,2.75,8,2.5
Créer un projet entrepreneurial,-9,-6,4,-2.75,3.5,3.25,3.25
Prendre des risques,nan,-7.5,nan,-8,nan,5,-2.25
Vendre ou louer des maisons,-7.5,nan,5,5,0.5,6.5,-1.5
"Gérer des actifs, un patrimoine",-8.5,8.5,5.75,5.25,-7.75,-3.5,-1.25
Piloter des indicateurs statistiques,-2.5,6,6,2.25,-9,-9,-5
"Etre leader, inspirer et motiver",nan,-4.5,-4.75,nan,nan,-5,1.25
"Organiser une équipe, des tâches",-3.5,1.5,4.5,4.75,-2.75,5.5,-2.5
"Coacher, faire progresser les autres",6,-6.5,-3.25,-2.25,0,-4,2.75
Atteindre des objectifs ambitieux,-8.75,nan,nan,nan,nan,nan,3.5
Accompagner le changement,3,nan,-3.75,-3.5,nan,-4.75,-1
Réaliser une veille de marché,-7.25,nan,7,6.25,-7,0.75,-3.75
Concevoir une offre de produits / services,-6.5,-3.25,-1.5,-0.25,-6.5,1.25,-3
Travailler dans l’administration publique,5,6.75,nan,7.5,nan,nan,0
Donner des discours,nan,-7.5,6,-1.75,1.5,-3,1.25
Développer un territoire économique,-4.25,-1.25,nan,5,-1.75,3,0.25
"Gérer et entretenir un site, une infrastructure",-6,6,-2.25,6.75,2.5,6.5,-1.75
"Se déplacer souvent, voyager",nan,nan,6.75,nan,6.5,7.5,2.75
"Convaincre, influencer",nan,nan,-5,-6,nan,-3,2.75
"Concevoir des contenus, des supports de communication",-4.75,-7.5,6.75,-6.25,-7.25,-0.75,-2.5
Gérer le marketing et piloter l'image de marque,-8.5,-7.25,5.25,-4.25,-6.75,-4.5,0.5
"Vendre, commercialiser",-10,-6.25,5.75,3.25,3.75,5.75,2.5
Servir un client,2,-3.5,5.5,3,2,6.5,0
Elaborer une stratégie commerciale,-9,-6.25,5.75,-1.75,-6.25,-6.25,-3
Elaborer une offre commerciale / Répondre à un appel d'offre,-9.5,-3.75,4,7,-7.5,-6.5,-3.75
Gérer la relation client,1.5,nan,6,nan,-0.75,4.5,-2.5
"Améliorer la qualité de service, fidéliser les clients",-3,-3,4.5,nan,-4,-2.25,-2.75
Animer la communication interne,nan,nan,2.5,-3.5,-6.25,3.75,-1.25
"Accueillir, orienter, renseigner",10,nan,-1,5.5,-3.25,4.25,2.5
S'occuper de la carrière de quelqu'un,7.5,nan,0.5,nan,-0.75,5.5,1.25
Ecouter et dialoguer avec ses collaborateurs,4.25,nan,-5,-2.75,-6,1,2.75
Maintenir l’engagement et la satisfaction des collaborateurs,1,nan,-5.75,-0.25,-6.25,1.25,0.5
Travailler en réseau,nan,nan,-8,nan,nan,4.5,-2.25
Découvrir d'autres cultures,nan,nan,-2.75,nan,nan,-4.75,5
Travailler en collectif,nan,nan,-10,nan,nan,nan,0
Travailler dans le secteur social,10,nan,-5.25,6.25,nan,5.75,2.25
Travailler dans un bureau,nan,nan,nan,nan,-9,nan,-1.25
Assurer une gestion documentaire,nan,6.75,8.25,8.25,-8.25,5.5,-3
Faire des inventaires et tenir des registres,nan,7,7.5,8.25,nan,8,-4.25
Commander et gérer le matériel de bureaux,nan,4.25,4.25,5.75,-4.25,6.75,-3.25
Gérer la logistique,nan,7,1.25,8.25,2.25,8.25,-2.5
Tenir le registre des transactions financières d'une entreprise,-2,9,8,9,-7.25,7.25,-4.25
Assurer la gestion administrative,nan,8,6.75,7.75,-9,7.5,-3.5
Calculer le salaire des employés,nan,9.5,7.75,10,-8.75,5.75,-2.5
Transférer des fonds entre banques,nan,10,nan,10,-0.5,6.25,-2
Elaborer et faire respecter des consignes,nan,10,-3,7.5,-3.5,5,2.5
Respecter les règles,nan,10,nan,10,nan,6.5,-0.75
Collecter et classer,nan,8.5,6,8,1,8,-2
Gérer la comptabilité et les finances,-5.5,10,3.5,9.75,-7.25,-0.5,-0.25
Gérer les finances publiques,nan,10,3.75,9.25,-8,-0.25,-1.25
Protéger les personnes et les biens,8,9.5,nan,7.25,6.5,7.25,4.5
Juger,nan,nan,7.5,4,nan,-1.75,4
Faire respecter les lois,nan,10,nan,9.5,6,7.5,4.5
Participer à des procès,nan,nan,nan,7.5,nan,nan,0.5
Enquêter,nan,-3.25,4,nan,5.5,5,3
Rédiger des contrats,nan,9.5,6.75,8.75,-5.75,3,-3
Négocier des contrats,-6.25,6.5,2.75,1.5,-3.5,0,0
Respecter un cadre juridique,nan,9.5,nan,9.75,nan,1,-3.25
Assurer un transport,nan,7.5,2.5,7.25,3.25,8.5,1.25
Travailler sur des voitures,nan,nan,6,1,6.5,9.25,3.25
"Réparer, nettoyer, entretenir",nan,nan,7.25,4.5,7.25,10,1.25
Poser du parquet ou du carrelage,nan,nan,5.75,1.5,8.25,10,-2
Poser des murs ou des toits,nan,nan,0.25,6.75,8.25,10,-2
"Poser, réparer de la plomberie",nan,nan,7,7.25,8.25,10,-2
"Livrer, transporter, conduire, manoeuvrer",nan,6.25,8.75,6.5,8,10,3
Porter ou manipuler des charges lourdes,nan,nan,nan,nan,9.25,9,-1.5
"Faire un travail physique, fatiguant",nan,nan,nan,nan,10,nan,0
Réparer et installer des serrures,nan,nan,8.25,7,6.25,10,-1.5
Se rendre sur des chantiers,nan,nan,-3.5,4.25,6.75,8.5,-2.5
Manipuler des matières premières,nan,nan,nan,6.25,6.5,9.75,-3
"Extraire, exploiter des ressources",nan,nan,nan,3.75,8,7.5,-3.5
"Conditionner, manutentionner des produits",nan,nan,4,7.75,7.5,10,-3.25
Réparer des appareils électroménagers,-3.25,4.75,7,6,7.75,10,-2.5
Monter des meubles,nan,3.25,nan,7,7.25,8,-1.75
Maîtriser un savoir faire technique,nan,4.75,8.25,nan,nan,nan,2.75
Utiliser une machine sur une chaîne de production,nan,7.75,7.75,9.25,6,9,-1
Assembler des pièces électroniques,nan,4.75,8.5,8,5.5,9,-1.25
Assurer la maintenance technique,nan,7.5,8,8.25,6.75,9.25,-0.75
"Cultiver, récolter",-0.75,nan,5.5,3.25,9.25,9.5,4.5
Cuisiner,2.5,nan,-0.5,-3,4.25,9.75,4.5
Travailler dans l'art ou dans la musique,nan,-8.25,nan,-9.5,nan,-4.5,5
"Faire des tâches minutieuses, de précision",nan,nan,8,3.75,nan,9,-1.75
"Utiliser des machines, des outils, des logiciels",nan,nan,6.75,nan,nan,6.75,-1.75
"Repérer les erreurs, observer, contrôler",nan,7.75,6.5,7.5,2.5,6.75,0.25
Maîtriser une documentation technique,nan,nan,7.75,6.5,nan,3.75,-3
Contrôler la qualité,1,7.25,7.25,8.25,nan,7.25,-2.25
Gérer les stocks et les approvisionnements,nan,5.75,5.5,7.75,nan,7.5,-2.25
Travailler de mes mains,nan,nan,nan,nan,6.5,8,4.5
"Construire, fabriquer",nan,-2.25,nan,nan,8.75,10,4.5
Entretenir des jardins et des espaces verts,nan,1.25,5,-1.25,8.5,10,0.5
Aménager un espace,nan,-0.75,4.25,-5,nan,4,2.25
Dessiner,nan,nan,9.5,-8.25,-8.5,4.25,5
Ecrire des chansons,nan,-7.25,8.5,-7.75,-9.25,-1.75,5
"Composer, mettre en scène",nan,-8,4,-7.75,-3.25,-3.5,1.25
"Créer une oeuvre, designer",nan,-8.5,6.75,-8,-3.25,-1.5,3
"Faire des illustrations, du graphisme",nan,-7.75,7.75,-6,-7.75,-2.75,0.25
Ecrire des scénarios de films ou séries,nan,-6.5,5.5,-6.5,-9,-0.5,3
"Distraire, animer, divertir",nan,-6.5,-1.75,-6.25,2.25,-2.5,4.5
"Chanter, jouer d'un instrument",nan,-2.75,0.5,-5,2,4.75,5
Exercer une activité artistique ou créative,nan,-6.25,6,-8.75,nan,4,4.5
Travailler dans le spectacle ou pour la télévision,nan,nan,-4.5,nan,nan,nan,2.75
"Réaliser une performance, une représentation artistique",nan,-7.25,nan,-7.5,5.5,3.5,1.75
Diriger une pièce de théâtre,3.25,-3,-4.75,-4.75,3.75,1.25,1.5
Se déplacer pour faire des reportages,nan,nan,1.5,nan,7.25,7.75,2.75
Avoir des sensations fortes,nan,nan,9.25,nan,nan,nan,4.5
Jouer un rôle dans une série ou un film,nan,-5,-1,0.75,4.75,2.5,4.25
Ecrire des livres,nan,-7.25,9,-9.75,-7.25,0,5
Traduire,nan,4,6,3,-7,4.75,0.75
Développer les relations internationales,-1.25,nan,-3.5,nan,nan,-4.25,-2
Pratiquer plusieurs langues,nan,nan,nan,-2.5,nan,-3.25,4
Se déplacer en tournées,nan,nan,-8.25,nan,5,7.25,-3
Organiser des sorties pédagogiques avec des personnes,10,nan,-3.25,0.75,4.75,7.5,-1
Apprendre à des personnes handicapées à travailler en autonomie,10,nan,-4,1.5,4.5,7.5,-0.5
Favoriser l'insertion professionnelle et sociale des personnes,9.5,nan,-0.25,1.5,nan,0.75,1.5
Enseigner et éduquer,6.5,4,3,-1,1.25,-0.25,5
Enseigner dans une école primaire,8,2.25,3.25,-1.25,nan,2.5,1.5
Enseigner à une classe de lycée,7.5,2.75,3,-1.5,1.25,1,1.5
"Aider, conseiller les autres",nan,nan,-4,-2.5,-4.25,2,4.5
M'occuper de la santé des autres,9,5,nan,6.75,6.5,6.5,5
Travailler pour des associations,7.75,nan,-2,nan,nan,nan,0.5
Réaliser un accompagnement psychologique,8.25,-0.25,6.5,6.5,0.25,-1.75,0.25
Apprendre la lecture à des enfants,9.25,6,3.75,6.5,-1.5,3.25,0.25
S'occuper des enfants dans une garderie,9,3.75,-1.5,7.25,6,7.25,0.75
Être avec des enfants ou adolescents,7,nan,-2.25,7.25,4.5,6.75,3.25
Travailler en magasin,nan,nan,-1.5,6.5,3.5,7.25,0.75
Travailler au domicile d'un particulier,7.25,nan,6.75,3.75,4.5,7.75,0.25
Aider les personnes ayant des problèmes familiaux,10,nan,6.25,nan,3.25,2.75,0
Aider les personnes ayant des problèmes d'addiction,10,nan,6,nan,6.25,3.25,0
Prendre soin des animaux,9.75,nan,3.25,0.75,3.5,7.25,4.5
Protéger l'environnement,6.25,5.5,nan,-0.5,5,6.5,4.5
Être dans la nature,nan,nan,nan,nan,3.25,7.5,2.5
Etudier le comportement animal,5.25,nan,nan,nan,-2.75,-5.75,0.75
Cartographier,nan,7,nan,4.5,nan,1.75,-1.25
Etudier des solutions pour réduire la pollution,3.5,-4.5,nan,1.75,-4.5,-1,0.75
Faire de la recherche scientifique,nan,-8.25,0.25,1.5,-5.75,-5.25,3.25
Examiner au microscope,nan,nan,8.25,7,-3,-0.25,-3
"Gérer une architechture logicielle, un système technique",nan,7,-0.5,6.5,-8,0.75,-4
Rechercher et analyser des informations,nan,-0.25,4.75,-1.75,-1.25,-0.25,0
"Travailler avec les nombres, manipuler des données",nan,-0.75,6.5,3,-8.25,1.75,0
Etudier la génétique,nan,-1.75,nan,7,-8.5,-0.75,-0.5
Etudier la structure du corps humain,nan,-1.75,nan,7,-8.5,-0.5,-3
Développer des nouveaux traitements médicaux,6.5,-2.25,-3.25,4.25,-6,0.75,-0.25
Etudier le mouvement des planètes,nan,nan,nan,6.5,-8.75,-1.5,-0.25
"Faire des expériences, des tests",nan,-1.75,nan,7,-4.5,1.5,1
Développer des programmes informatiques,nan,-0.75,1,-0.75,-8.5,3.5,3
Résoudre des énigmes et des problèmes,nan,-5.25,5.25,-4.5,nan,1,3.5
Elaborer une feuille de calcul à l'aide d'un logiciel,nan,3.75,8.25,6.75,-9.25,6,-3.75
Modéliser / Prototyper,nan,-1.25,6.75,-4.75,-2.75,0.75,-2.5
Utiliser les nouvelles technologies,nan,-1,nan,nan,nan,2.5,1.5
Assurer une veille technologique,nan,0.5,6,2.25,nan,0.25,-1.75
